ID,NameInSource,Name,Glottocode
AchangLongchuan,Achang_Longchuan,Achang,
Xiandao,Xiandao,Xiandao,
Lashi,Lashi,Lashi,
OldBurmese,Old_Burmese,Old Burmese,
Rangoon,Rangoon,Rangoon Burmese,
Maru,Maru,Maru,
Atsi,Atsi,Atsi,
Bola,Bola,Bola,
ProtoBurmish,ProtoBurmish,ProtoBurmish,
