ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,NameInSource
AchangLongchuan,Achang,,,,,,,Sino-Tibetan,Burmish,Achang_Longchuan
Xiandao,Xiandao,,,,,,,Sino-Tibetan,Burmish,Xiandao
Lashi,Lashi,,,,,,,Sino-Tibetan,Burmish,Lashi
OldBurmese,Old Burmese,,,,,,,Sino-Tibetan,Burmish,Old_Burmese
Rangoon,Rangoon Burmese,,,,,,,Sino-Tibetan,Burmish,Rangoon
Maru,Maru,,,,,,,Sino-Tibetan,Burmish,Maru
Atsi,Atsi,,,,,,,Sino-Tibetan,Burmish,Atsi
Bola,Bola,,,,,,,Sino-Tibetan,Burmish,Bola
ProtoBurmish,ProtoBurmish,,,,,,,Sino-Tibetan,Burmish,ProtoBurmish
