ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy
OldBurmese-928_i-1,,OldBurmese,928_i,ṅa,ṅa,ṅ/ŋ a,,Huang1992,,,,,665
Rangoon-928_i-1,,Rangoon,928_i,ŋɑ²²,ŋɑ²²,ŋ ɑ ²²,,Huang1992,,,,,665
AchangLongchuan-928_i-1,,AchangLongchuan,928_i,ŋɔ⁵⁵,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,Huang1992,,,,,665
Atsi-928_i-1,,Atsi,928_i,ŋo⁵¹,ŋo⁵¹,ŋ o ⁵¹,,Huang1992,,,,,665
Bola-928_i-1,,Bola,928_i,ŋa⁵⁵,ŋa⁵⁵,ŋ a ⁵⁵,,Huang1992,,,,,665
Lashi-928_i-1,,Lashi,928_i,ŋo³¹,ŋo³¹,ŋ o ³¹,,Huang1992,,,,,665
Maru-928_i-1,,Maru,928_i,ŋɔ³¹,ŋɔ³¹,ŋ ɔ ³¹,,Huang1992,,,,,665
Xiandao-928_i-1,,Xiandao,928_i,ŋɔ⁵⁵,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,Huang1992,,,,,665
ProtoBurmish-928_i-1,,ProtoBurmish,928_i,*ŋa,ŋa¹,ŋ a ¹,,Huang1992,,,,,665
Atsi-1193_accomplishsucceed-1,,Atsi,1193_accomplishsucceed,pa̱n⁵⁵,pa̱n⁵⁵,p a̱ n ⁵⁵,,Huang1992,,,,,4
Bola-1193_accomplishsucceed-1,,Bola,1193_accomplishsucceed,pɛ̃⁵⁵,pɛ̃⁵⁵,p ɛ̃ ⁵⁵,,Huang1992,,,,,4
Maru-1193_accomplishsucceed-1,,Maru,1193_accomplishsucceed,pəŋ³¹,pəŋ³¹,p ə ŋ ³¹,,Huang1992,,,,,4
Atsi-1712_accustomedtobehabitofhaveve-1,,Atsi,1712_accustomedtobehabitofhaveve,man⁵⁵,man⁵⁵,m a n ⁵⁵,,Huang1992,,,,,384
Bola-1712_accustomedtobehabitofhaveve-1,,Bola,1712_accustomedtobehabitofhaveve,mɛ̃³⁵,mɛ̃³⁵,m ɛ̃ ³⁵,,Huang1992,,,,,384
Lashi-1712_accustomedtobehabitofhaveve-1,,Lashi,1712_accustomedtobehabitofhaveve,maːn⁵⁵,maːn⁵⁵,m aː n ⁵⁵,,Huang1992,,,,,384
Maru-1712_accustomedtobehabitofhaveve-1,,Maru,1712_accustomedtobehabitofhaveve,məŋ⁵⁵,məŋ⁵⁵,m ə ŋ ⁵⁵,,Huang1992,,,,,384
ProtoBurmish-1712_accustomedtobehabitofhaveve-1,,ProtoBurmish,1712_accustomedtobehabitofhaveve,*manX,man³,m a n ³,,Huang1992,,,,,384
Atsi-1666_achehead-1,,Atsi,1666_achehead,no⁵¹,no⁵¹,n o ⁵¹,,Huang1992,,,,,467
Bola-1666_achehead-1,,Bola,1666_achehead,na⁵⁵,na⁵⁵,n a ⁵⁵,,Huang1992,,,,,466
Lashi-1666_achehead-1,,Lashi,1666_achehead,nɔː³¹,nɔː³¹,n ɔː ³¹,,Huang1992,,,,,467
Maru-1666_achehead-1,,Maru,1666_achehead,nɔ³¹,nɔ³¹,n ɔ ³¹,,Huang1992,,,,,466
OldBurmese-1366_afraidbe-1,,OldBurmese,1366_afraidbe,kro₂k,krOk,k r o₂/ɔ k,,Huang1992,,,,,197
Rangoon-1366_afraidbe-1,,Rangoon,1366_afraidbe,tɕɑuʔ⁴,tɕɑuʔ⁴,tɕ ɑu ʔ ⁴,,Huang1992,,,,,201
Atsi-1366_afraidbe-1,,Atsi,1366_afraidbe,kjuʔ²¹,kjuʔ²¹,k j u ʔ ²¹,,Huang1992,,,,,201
Bola-1366_afraidbe-1,,Bola,1366_afraidbe,kjauʔ³¹,kjauʔ³¹,k j au ʔ ³¹,,Huang1992,,,,,201
Lashi-1366_afraidbe-1,,Lashi,1366_afraidbe,kjuːk³¹,kjuːk³¹,k j uː k ³¹,,Huang1992,,,,,201
Maru-1366_afraidbe-1,,Maru,1366_afraidbe,kjauk³¹,kjauk³¹,k j au k ³¹,,Huang1992,,,,,197
AchangLongchuan-1366_afraidbe-1,,AchangLongchuan,1366_afraidbe,ʐoʔ⁵⁵,ʐoʔ⁵⁵,ʐ o ʔ ⁵⁵,,Huang1992,,,,,342
ProtoBurmish-1366_afraidbe-1,,ProtoBurmish,1366_afraidbe,*gruk,gruk⁴,g r u k ⁴,,Huang1992,,,,,197
ProtoBurmish-1366_afraidbe-2,,ProtoBurmish,1366_afraidbe,*gjuk,gjuk⁴,g j u k ⁴,,Huang1992,,,,,201
Atsi-685_age-1,,Atsi,685_age,tsan⁵¹ vut²¹,tsan⁵¹+vut²¹,ts a n ⁵¹ + v u t ²¹,,Huang1992,,,,,61 1869
Lashi-685_age-1,,Lashi,685_age,tsan³¹ wɔt³¹,tsan³¹+wɔt³¹,ts a n ³¹ + w ɔ t ³¹,,Huang1992,,,,,61 1870
Maru-685_age-1,,Maru,685_age,tsəŋ³¹ vɛʔ⁵⁵,tsəŋ³¹+vɛʔ⁵⁵,ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵,,Huang1992,,,,,64 1871
Maru-1480_agreeconsent-1,,Maru,1480_agreeconsent,nuk³¹,nuk³¹,n u k ³¹,,Huang1992,,,,,495
Rangoon-1770_agreeonarrange-1,,Rangoon,1770_agreeonarrange,tɕhẽ⁵⁵,tɕhẽ⁵⁵,tɕʰ ẽ ⁵⁵,,Huang1992,,,,,76
Bola-1770_agreeonarrange-1,,Bola,1770_agreeonarrange,taŋ³¹,taŋ³¹,t a ŋ ³¹,,Huang1992,,,,,75
Lashi-962_alleverything-1,,Lashi,962_alleverything,pan³¹ ʃɔ̱ʔ⁵⁵,pan³¹+ʃɔ̱ʔ⁵⁵,p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵,,Huang1992,,,,,4 536
Maru-962_alleverything-1,,Maru,962_alleverything,pəŋ³¹ ʃɔʔ⁵⁵,pəŋ³¹+ʃɔʔ⁵⁵,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,,Huang1992,,,,,4 539
Rangoon-962_alleverything-1,,Rangoon,962_alleverything,m̥ɑ̃²² tθɑ⁵³ m̥jɑ⁵³,m̥ɑ̃²²+tθɑ⁵³+m̥jɑ⁵³,m̥ ɑ̃ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,,Huang1992,,,,,3078 536 3079
AchangLongchuan-962_alleverything-1,,AchangLongchuan,962_alleverything,pʐa⁵⁵ pʐa⁵⁵,pʐa⁵⁵+pʐa⁵⁵,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,,Huang1992,,,,,3080 6
ProtoBurmish-962_alleverything-1,,ProtoBurmish,962_alleverything,*ʔrjak,ˀrjak⁴,ˀr j a k ⁴,,Huang1992,,,,,539
AchangLongchuan-963_allwholethe-1,,AchangLongchuan,963_allwholethe,pʐa⁵⁵ pʐa⁵⁵,pʐa⁵⁵+pʐa⁵⁵,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,,Huang1992,,,,,940 6
Atsi-963_allwholethe-1,,Atsi,963_allwholethe,pan²¹ ʃoʔ⁵⁵,pan²¹+ʃoʔ⁵⁵,p a n ²¹ + ʃ o ʔ ⁵⁵,,Huang1992,,,,,536 941
Bola-963_allwholethe-1,,Bola,963_allwholethe,pɛ̃⁵⁵ ʃaʔ⁵⁵,pɛ̃⁵⁵+ʃaʔ⁵⁵,p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵,,Huang1992,,,,,4 540
Lashi-963_allwholethe-1,,Lashi,963_allwholethe,pan³¹ ʃɔ̱ʔ⁵⁵,pan³¹+ʃɔ̱ʔ⁵⁵,p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵,,Huang1992,,,,,4 536
Maru-963_allwholethe-1,,Maru,963_allwholethe,pəŋ³¹ ʃɔʔ⁵⁵,pəŋ³¹+ʃɔʔ⁵⁵,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,,Huang1992,,,,,4 539
ProtoBurmish-963_allwholethe-1,,ProtoBurmish,963_allwholethe,*brɛ,brɛ¹,b r ɛ ¹,,Huang1992,,,,,6
ProtoBurmish-963_allwholethe-2,,ProtoBurmish,963_allwholethe,*ʃak,ʃak⁴,ʃ a k ⁴,,Huang1992,,,,,540
Bola-1159_alter-1,,Bola,1159_alter,tøʔ³¹ nɔ̱̃⁵⁵,tøʔ³¹+nɔ̱̃⁵⁵,t ø ʔ ³¹ + n ɔ̱̃ ⁵⁵,,Huang1992,,,,,3584 837
Rangoon-57_aluminum-1,,Rangoon,57_aluminum,dɑ̃²²,dɑ̃²²,d ɑ̃ ²²,,Huang1992,,,,,1491
Atsi-57_aluminum-1,,Atsi,57_aluminum,tan⁵⁵,tan⁵⁵,t a n ⁵⁵,,Huang1992,,,,,1492
Bola-57_aluminum-1,,Bola,57_aluminum,saŋ⁵⁵ phɔ⁵⁵,saŋ⁵⁵+phɔ⁵⁵,s a ŋ ⁵⁵ + pʰ ɔ ⁵⁵,,Huang1992,,,,,552 3124
Atsi-1621_angrybetakeoffense-1,,Atsi,1621_angrybetakeoffense,ni̱k⁵⁵ jo²¹,ni̱k⁵⁵+jo²¹,n i̱ k ⁵⁵ + j o ²¹,,Huang1992,,,,,208 838
Bola-1621_angrybetakeoffense-1,,Bola,1621_angrybetakeoffense,na̱k⁵⁵ tʃam³¹ ja³¹,na̱k⁵⁵+tʃam³¹+ja³¹,n a̱ k ⁵⁵ + tʃ a m ³¹ + j a ³¹,,Huang1992,,,,,1201 2212 1200
Lashi-1621_angrybetakeoffense-1,,Lashi,1621_angrybetakeoffense,nə̱k⁵⁵ jɔː³³,nə̱k⁵⁵+jɔː³³,n ə̱ k ⁵⁵ + j ɔː ³³,,Huang1992,,,,,1202 838
Maru-1621_angrybetakeoffense-1,,Maru,1621_angrybetakeoffense,na̱k⁵⁵ jo³¹,na̱k⁵⁵+jo³¹,n a̱ k ⁵⁵ + j o ³¹,,Huang1992,,,,,1203 838
OldBurmese-1621_angrybetakeoffense-1,,OldBurmese,1621_angrybetakeoffense,myak,mjak,m j a k,,Huang1992,,,,,438
Atsi-767_animalstwelverepresentingthetwelveyears-1,,Atsi,767_animalstwelverepresentingthetwelveyears,tsan⁵¹ vut⁵⁵,tsan⁵¹+vut⁵⁵,ts a n ⁵¹ + v u t ⁵⁵,,Huang1992,,,,,61 1857
Bola-767_animalstwelverepresentingthetwelveyears-1,,Bola,767_animalstwelverepresentingthetwelveyears,tɛ̃⁵⁵ vɛʔ⁵⁵ lun³¹,tɛ̃⁵⁵+vɛʔ⁵⁵+lun³¹,t ɛ̃ ⁵⁵ + v ɛ ʔ ⁵⁵ + l u n ³¹,,Huang1992,,,,,61 1858 1859
Rangoon-104_ankle-1,,Rangoon,104_ankle,tɕhe²² mjɛʔ⁴ si⁵³,tɕhe²²+mjɛʔ⁴+si⁵³,tɕʰ e ²² + m j ɛ ʔ ⁴ + s i ⁵³,,Huang1992,,,,,280 638 2403
AchangLongchuan-104_ankle-1,,AchangLongchuan,104_ankle,tɕhi⁵⁵ tɔʔ⁵⁵,tɕhi⁵⁵+tɔʔ⁵⁵,tɕʰ i ⁵⁵ + t ɔ ʔ ⁵⁵,,Huang1992,,,,,274 1273
Atsi-104_ankle-1,,Atsi,104_ankle,ku̱²¹ tʃhaŋ²¹ tʃhap⁵⁵,ku̱²¹+tʃhaŋ²¹+tʃhap⁵⁵,k u̱ ²¹ + tʃʰ a ŋ ²¹ + tʃʰ a p ⁵⁵,,Huang1992,,,,,280 2404 638
Bola-104_ankle-1,,Bola,104_ankle,khji⁵⁵ tʃhɛʔ⁵⁵,khji⁵⁵+tʃhɛʔ⁵⁵,kʰ j i ⁵⁵ + tʃʰ ɛ ʔ ⁵⁵,,Huang1992,,,,,278 1274
Maru-104_ankle-1,,Maru,104_ankle,khjik³¹ tʃhɛʔ⁵⁵,khjik³¹+tʃhɛʔ⁵⁵,kʰ j i k ³¹ + tʃʰ ɛ ʔ ⁵⁵,,Huang1992,,,,,280 638
Xiandao-104_ankle-1,,Xiandao,104_ankle,chi⁵⁵ tʂham³¹,chi⁵⁵+tʂham³¹,ch/tʃʰ i ⁵⁵ + ʈʂʰ a m ³¹,,Huang1992,,,,,280 1275
ProtoBurmish-104_ankle-1,,ProtoBurmish,104_ankle,*tʃap,tʃap⁴,tʃ a p ⁴,,Huang1992,,,,,638
AchangLongchuan-365_ant-1,,AchangLongchuan,365_ant,tɕhi⁵⁵ man⁵⁵,tɕhi⁵⁵+man⁵⁵,tɕʰ i ⁵⁵ + m a n ⁵⁵,,Huang1992,,,,,274 2341
Rangoon-105_arm-1,,Rangoon,105_arm,lɛʔ⁴ mɑ̃u⁵⁵,lɛʔ⁴+mɑ̃u⁵⁵,l ɛ ʔ ⁴ + m ɑ̃u ⁵⁵,,Huang1992,,,,,334 2547
AchangLongchuan-105_arm-1,,AchangLongchuan,105_arm,lɔʔ⁵⁵ san⁵⁵,lɔʔ⁵⁵+san⁵⁵,l ɔ ʔ ⁵⁵ + s a n ⁵⁵,,Huang1992,,,,,334 2548
Atsi-105_arm-1,,Atsi,105_arm,loʔ²¹ pu⁵⁵,loʔ²¹+pu⁵⁵,l o ʔ ²¹ + p u ⁵⁵,,Huang1992,,,,,334 2549
Bola-105_arm-1,,Bola,105_arm,laʔ³¹ pu³⁵,laʔ³¹+pu³⁵,l a ʔ ³¹ + p u ³⁵,,Huang1992,,,,,334 2550
Lashi-105_arm-1,,Lashi,105_arm,lɔʔ³¹ pu⁵³,lɔʔ³¹+pu⁵³,l ɔ ʔ ³¹ + p u ⁵³,,Huang1992,,,,,334 2551
Maru-105_arm-1,,Maru,105_arm,lɔʔ³¹ pau³⁵,lɔʔ³¹+pau³⁵,l ɔ ʔ ³¹ + p au ³⁵,,Huang1992,,,,,334 2552
Xiandao-105_arm-1,,Xiandao,105_arm,lɔʔ⁵⁵ ʐum³¹,lɔʔ⁵⁵+ʐum³¹,l ɔ ʔ ⁵⁵ + ʐ u m ³¹,,Huang1992,,,,,334 2553
Bola-92_armpit-1,,Bola,92_armpit,laʔ³¹ tʃhɛʔ⁵⁵,laʔ³¹+tʃhɛʔ⁵⁵,l a ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵,,Huang1992,,,,,334 1317
Lashi-92_armpit-1,,Lashi,92_armpit,lɔʔ³¹ tʃnap⁵⁵,lɔʔ³¹+tʃnap⁵⁵,l ɔ ʔ ³¹ + tʃ n a p ⁵⁵,,Huang1992,,,,,334 1318
Maru-92_armpit-1,,Maru,92_armpit,lɔʔ³¹ tʃhɛʔ⁵⁵,lɔʔ³¹+tʃhɛʔ⁵⁵,l ɔ ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵,,Huang1992,,,,,334 638
Xiandao-92_armpit-1,,Xiandao,92_armpit,lɔʔ³¹ san⁵⁵ khʐoʔ⁵⁵,lɔʔ³¹+san⁵⁵+khʐoʔ⁵⁵,l ɔ ʔ ³¹ + s a n ⁵⁵ + kʰ ʐ o ʔ ⁵⁵,,Huang1992,,,,,334 2533 2534
AchangLongchuan-92_armpit-1,,AchangLongchuan,92_armpit,kă³¹ liŋ³⁵ tʂhuaʔ⁵⁵,kă³¹+liŋ³⁵+tʂhwaʔ⁵⁵,k ă ³¹ + l i ŋ ³⁵ + ʈʂʰ w a ʔ ⁵⁵,,Huang1992,,,,,3249 3250 1544
Atsi-92_armpit-1,,Atsi,92_armpit,kă²¹ tʃo̱k⁵⁵ khoŋ²¹,kă²¹+tʃo̱k⁵⁵+khoŋ²¹,k ă ²¹ + tʃ o̱ k ⁵⁵ + kʰ o ŋ ²¹,,Huang1992,,,,,3251 1545 3252
Atsi-637_arrow-1,,Atsi,637_arrow,lai²¹ mjo²¹,lai²¹+mjo²¹,l ai ²¹ + m j o ²¹,,Huang1992,,,,,360 2625
Bola-637_arrow-1,,Bola,637_arrow,li³¹ ʃɿ³⁵,li³¹+ʃɿ³⁵,l i ³¹ + ʃ ɿ ³⁵,,Huang1992,,,,,360 729
Maru-637_arrow-1,,Maru,637_arrow,la³⁵ mjɔk³¹,la³⁵+mjɔk³¹,l a ³⁵ + m j ɔ k ³¹,,Huang1992,,,,,360 2626
Lashi-637_arrow-1,,Lashi,637_arrow,mjo³³ ʃɿ⁵⁵,mjo³³+ʃɿ⁵⁵,m j o ³³ + ʃ ɿ ⁵⁵,,Huang1992,,,,,3369 731
OldBurmese-1708_askquestion-1,,OldBurmese,1708_askquestion,miyḥ,mijḥ,m i j ḥ/⁵,,Huang1992,,,,,397
Rangoon-1708_askquestion-1,,Rangoon,1708_askquestion,me⁵⁵,me⁵⁵,m e ⁵⁵,,Huang1992,,,,,394
AchangLongchuan-1708_askquestion-1,,AchangLongchuan,1708_askquestion,ȵi³¹,ȵi³¹,ȵ i ³¹,,Huang1992,,,,,394
Atsi-1708_askquestion-1,,Atsi,1708_askquestion,mji²¹,mji²¹,m j i ²¹,,Huang1992,,,,,394
Bola-1708_askquestion-1,,Bola,1708_askquestion,məi³¹,məi³¹,m əi ³¹,,Huang1992,,,,,394
Lashi-1708_askquestion-1,,Lashi,1708_askquestion,mjeːi³³,mjeːi³³,m j eːi ³³,,Huang1992,,,,,394
Maru-1708_askquestion-1,,Maru,1708_askquestion,mjik⁵⁵,mjik⁵⁵,m j i k ⁵⁵,,Huang1992,,,,,394
Xiandao-1708_askquestion-1,,Xiandao,1708_askquestion,ni³¹,ni³¹,n i ³¹,,Huang1992,,,,,394
ProtoBurmish-1708_askquestion-1,,ProtoBurmish,1708_askquestion,*neH,ne²,n e ²,,Huang1992,,,,,394
ProtoBurmish-1708_askquestion-2,,ProtoBurmish,1708_askquestion,*miH,mi²,m i ²,,Huang1992,,,,,397
Atsi-1367_asksbtocomeherefetch-1,,Atsi,1367_asksbtocomeherefetch,vut²¹,vut²¹,v u t ²¹,,Huang1992,,,,,72
Bola-1367_asksbtocomeherefetch-1,,Bola,1367_asksbtocomeherefetch,jɔ̃⁵⁵,jɔ̃⁵⁵,j ɔ̃ ⁵⁵,,Huang1992,,,,,71
Lashi-1367_asksbtocomeherefetch-1,,Lashi,1367_asksbtocomeherefetch,juːt³¹,juːt³¹,j uː t ³¹,,Huang1992,,,,,72
Maru-1367_asksbtocomeherefetch-1,,Maru,1367_asksbtocomeherefetch,jɔ̃³¹,jɔ̃³¹,j ɔ̃ ³¹,,Huang1992,,,,,71
Atsi-1000_askewawryslanting-1,,Atsi,1000_askewawryslanting,jo̱n⁵⁵,jo̱n⁵⁵,j o̱ n ⁵⁵,,Huang1992,,,,,784
Bola-1000_askewawryslanting-1,,Bola,1000_askewawryslanting,ja̱k⁵⁵,ja̱k⁵⁵,j a̱ k ⁵⁵,,Huang1992,,,,,784
Lashi-1000_askewawryslanting-1,,Lashi,1000_askewawryslanting,ju̱ːn⁵³,ju̱ːn⁵³,j u̱ː n ⁵³,,Huang1992,,,,,784
Maru-1000_askewawryslanting-1,,Maru,1000_askewawryslanting,ja̱k⁵⁵,ja̱k⁵⁵,j a̱ k ⁵⁵,,Huang1992,,,,,784
ProtoBurmish-1000_askewawryslanting-1,,ProtoBurmish,1000_askewawryslanting,*ʔjik,ˀjik⁴,ˀj i k ⁴,,Huang1992,,,,,784
Atsi-1647_asleepfall-1,,Atsi,1647_asleepfall,ju̱p⁵⁵ to̱²¹,ju̱p⁵⁵+to̱²¹,j u̱ p ⁵⁵ + t o̱ ²¹,,Huang1992,,,,,221 2252
Bola-1647_asleepfall-1,,Bola,1647_asleepfall,ja̱p⁵⁵ ta̱³⁵,ja̱p⁵⁵+ta̱³⁵,j a̱ p ⁵⁵ + t a̱ ³⁵,,Huang1992,,,,,221 2253
Lashi-1647_asleepfall-1,,Lashi,1647_asleepfall,ju̱ːp⁵⁵ mje̱ːi⁵⁵,ju̱ːp⁵⁵+mje̱ːi⁵⁵,j u̱ː p ⁵⁵ + m j e̱ːi ⁵⁵,,Huang1992,,,,,221 2254
Maru-1647_asleepfall-1,,Maru,1647_asleepfall,jap³¹ mji̱k⁵⁵,jap³¹+mji̱k⁵⁵,j a p ³¹ + m j i̱ k ⁵⁵,,Huang1992,,,,,221 2255
Xiandao-1647_asleepfall-1,,Xiandao,1647_asleepfall,it⁵⁵ mui³¹,it⁵⁵+mui³¹,i t ⁵⁵ + m ui ³¹,,Huang1992,,,,,221 2256
Bola-1350_assessestimate-1,,Bola,1350_assessestimate,ku³¹,ku³¹,k u ³¹,,Huang1992,,,,,202
Atsi-730_atthebottomofahill-1,,Atsi,730_atthebottomofahill,o̱⁵¹,o̱⁵¹,o̱ ⁵¹,,Huang1992,,,,,779
Maru-730_atthebottomofahill-1,,Maru,730_atthebottomofahill,ɔ³¹,ɔ³¹,ɔ ³¹,,Huang1992,,,,,779
Rangoon-243_auntfatherssister-1,,Rangoon,243_auntfatherssister,ɑ⁵³ dɔ²²,ɑ⁵³+dɔ²²,ɑ ⁵³ + d ɔ ²²,,Huang1992,,,,,487 612
Atsi-243_auntfatherssister-1,,Atsi,243_auntfatherssister,a⁵⁵ mo̱i⁵⁵,a⁵⁵+mo̱i⁵⁵,a ⁵⁵ + m o̱i ⁵⁵,,Huang1992,,,,,487 3003
Lashi-243_auntfatherssister-1,,Lashi,243_auntfatherssister,a⁵⁵ nei³¹,a⁵⁵+nei³¹,a ⁵⁵ + n ei ³¹,,Huang1992,,,,,3004 1452
Maru-243_auntfatherssister-1,,Maru,243_auntfatherssister,na³¹,na³¹,n a ³¹,,Huang1992,,,,,486
Xiandao-243_auntfatherssister-1,,Xiandao,243_auntfatherssister,nai⁵⁵ tʂɯŋ⁵⁵,nai⁵⁵+tʂɯŋ⁵⁵,n ai ⁵⁵ + ʈʂ ɯ ŋ ⁵⁵,,Huang1992,,,,,487 3005
ProtoBurmish-243_auntfatherssister-1,,ProtoBurmish,243_auntfatherssister,*nai,nai¹,n ai ¹,,Huang1992,,,,,487
AchangLongchuan-605_axe-1,,AchangLongchuan,605_axe,u³¹ tɕɔŋ³¹,u³¹+tɕɔŋ³¹,u ³¹ + tɕ ɔ ŋ ³¹,,Huang1992,,,,,935 3725
Lashi-605_axe-1,,Lashi,605_axe,wo³³ tsuŋ³³,wo³³+tsuŋ³³,w o ³³ + ts u ŋ ³³,,Huang1992,,,,,935 3726
AchangLongchuan-1434_baableat-1,,AchangLongchuan,1434_baableat,mʐəŋ⁵⁵,mʐəŋ⁵⁵,m ʐ ə ŋ ⁵⁵,,Huang1992,,,,,459
Bola-1434_baableat-1,,Bola,1434_baableat,mjaŋ⁵⁵,mjaŋ⁵⁵,m j a ŋ ⁵⁵,,Huang1992,,,,,460
Lashi-1434_baableat-1,,Lashi,1434_baableat,mjəːŋ³¹,mjəːŋ³¹,m j əː ŋ ³¹,,Huang1992,,,,,459
Maru-1434_baableat-1,,Maru,1434_baableat,mjaŋ³¹,mjaŋ³¹,m j a ŋ ³¹,,Huang1992,,,,,459
